	Name	Schulart	Adresse	Stadtteil	Breitengrad	Längengrad	Klasse 1 (gesamt)	Klasse 2 (gesamt)	Klasse 3 (gesamt)	Klasse 4 (gesamt)	Klasse 5 (gesamt)	Klasse 6 (gesamt)	Klasse 7 (gesamt)	Klasse 8 (gesamt)	Klasse 9 (gesamt)	Klasse 10 (gesamt)	Klasse 11 (gesamt)	Klasse 12 (gesamt)	Klasse 13 (gesamt)
0	Aegidii-Ludgeri-Schule	Grundschule	Breite Gasse 3, 48143 Münster	Aegidii	51.95924475	7.624107486746451	33	30	32	22	0	0	0	0	0	0	0	0	0
1	Martinischule	Grundschule	Stiftsherrenstraße 40, 48143 Münster	Martini	51.9658225	7.631379799224552	37	45	41	28	0	0	0	0	0	0	0	0	0
2	Johannisschule	Grundschule	Vogel-von-Falkenstein-Straße 4, 48151 Münster	Josef	51.95250575	7.622215383681146	30	42	48	48	0	0	0	0	0	0	0	0	0
3	Overbergschule	Grundschule	Margaretenstraße 6, 48145 Münster	Hansaplatz	51.956238549999995	7.644752314250903	39	38	37	36	0	0	0	0	0	0	0	0	0
4	Bodelschwinghschule	Grundschule	Gutenbergstraße 14, 48145 Münster	Mauritz-West	51.96006265	7.645207713023179	46	56	50	51	0	0	0	0	0	0	0	0	0
5	Kreuzschule	Grundschule	Kampstraße 15, 48147 Münster	Kreuz	51.969471850000005	7.623725470020581	53	32	47	49	0	0	0	0	0	0	0	0	0
6	Martin-Luther-Schule	Grundschule	Coerdestraße 8, 48147 Münster	Kreuz	51.96922395	7.627840704038856	51	58	51	45	0	0	0	0	0	0	0	0	0
7	Dietrich-Bonhoeffer-Schule	Grundschule	Bonhoefferstraße 50, 48151 Münster	Aaseestadt	51.94163015	7.605145209437712	55	47	40	51	0	0	0	0	0	0	0	0	0
8	Matthias-Claudius-Schule	Grundschule	Gut Insel 36, 48151 Münster	Geist	51.93860585	7.61298881209431	60	71	44	52	0	0	0	0	0	0	0	0	0
9	Hermannschule	Grundschule	Dahlweg 66, 48153 Münster	Schützenhof	51.944904050000005	7.626371171545667	34	38	23	34	0	0	0	0	0	0	0	0	0
