NAME	ADRESSE	PLZ	STADTTEIL	RECHTSWERT	HOCHWERT	HOMEPAGE
St. Nikolaus	Münsterstraße 24	48155	Mauritz	412611	5752875	nicht hinterlegt
Grünschnäbel	Burgstraße 5	48145	Mitte	405425	5756430	nicht hinterlegt
Burgstraße	Burgstraße 2a	48145	Mitte	405436	5756469	nicht hinterlegt
Hengst Kinderland	Nienkamp 65	48147	Kreuzviertel	405136	5760207	http://hengst.com/de/karriereseite/kompetenz/#kinderland
Holtmannshof	Holtmannsweg 1	48145	Mauritz	406009	5761467	http://kita-holtmannshof.de/
St. Ida	Nachtigallenweg 19	48165	Hiltrup	408644	5754340	http://kita-ida.st-nikolaus-muenster.de/
Die Krokodile	Carl-Neuendorff-Weg 17	48149	Gievenbeck	399968	5761308	http://kita-krokodile.de/
St. Elisabeth	Hamburger Straße 43	48147	Kreuzviertel	406619	5756869	http://kitas-sanktmauritz.de/elisabeth/
Niki de Saint Phalle	Schmeddingstraße 54	48149	Gievenbeck	403103	5757476	http://klinikum.uni-muenster.de/index.php?id=kita
St. Margareta	Peter-Rosegger-Weg 57	48147	Kreuzviertel	408978	5756381	http://margaretenkindergarten.sanktbenedikt.de
Lacki Kids	Max-Winkelmann-Straße 82	48165	Hiltrup	407298	5751159	http://mue.lackikids.educcare.de/
St. Maximilian Kolbe	Rincklakeweg 34	48161	Roxel	405000	5753743	http://muenster-familienzentrum.de/
Rasselbande	Soester Straße 36	48155	Mauritz	406401	5756836	http://rasselbande.habanunu.de/willkommen
St. Thomas Morus	Thomas-Morus-Weg 15	48161	Nienberge	406741	5759051	http://sankt-franziskus-muenster.de/st-thomas-morus-gemeinde-in-rumphorst/kindergarten/
Andreas-Kindergarten	Breslauer Straße 154	48157	Coerde	407077	5761246	http://www.andreas-kindergarten.de/
Apostelkindergarten	An der Apostelkirche 1	48143	Mitte	405734	5758014	http://www.apostelkirchengemeinde-muenster.de/
Trauttmansdorffstrasse	Trauttmansdorffstraße 73	48153	Berg Fidel	406167	5753590	nicht hinterlegt
Kita Südhafen	Scheibenstraße 36	48153	Berg Fidel	405463	5755767	http://www.awo-msl-re.de/awo-vor-ort/vo-ms/vo-kita-ms/scheibenstrasse-1-1699/kita-scheibenstrasse.html
Angelmodde	Alt Angelmodde 11d	48167	Angelmodde	410517	5753219	http://www.awo-msl-re.de/awo-vor-ort/vo-ms/vo-kita-ms/vo-kita-alt-angelmodde/kita-angelmodde.html
Fürstenbergstrasse	Fürstenbergstraße 7	48149	Sentruper Höhe	406219	5757954	http://www.awo-msl-re.de/awo-vor-ort/vo-ms/vo-kita-ms/vo-kita-fz-fuerstenberstrasse/kita-fz-fuerstenbergstrasse.html
